cultivo,sitio,prod,bq,cobertura,kg_ha
Cebada,Tandil,CHECK,1,90,5057
Cebada,Tandil,CHECK,2,89,5443
Cebada,Tandil,CHECK,3,90,2629
Cebada,Tandil,CURACYT,1,91,4114
Cebada,Tandil,CURACYT,2,93,2500
Cebada,Tandil,CURACYT,3,89,3400
Cebada,Tandil,RANCONA_TRIO_400,1,91,4386
Cebada,Tandil,RANCONA_TRIO_400,2,94,2129
Cebada,Tandil,RANCONA_TRIO_400,3,95,4886
Cebada,Tandil,RIZODERMA_SX,1,89,4643
Cebada,Tandil,RIZODERMA_SX,2,91,3100
Cebada,Tandil,RIZODERMA_SX,3,90,4100
Cebada,Tandil,RIZODERMA_SX + VITAGROW + STZN,1,88,4186
Cebada,Tandil,RIZODERMA_SX + VITAGROW + STZN,2,88,4800
Cebada,Tandil,RIZODERMA_SX + VITAGROW + STZN,3,89,4386
Cebada,Tandil,SISTIVA_PREMIS,1,89,2929
Cebada,Tandil,SISTIVA_PREMIS,2,89,5614
Cebada,Tandil,SISTIVA_PREMIS,3,92,5671
Cebada,Tandil,SISTIVA_PREMIS + ALZ_12051,1,92,1914
Cebada,Tandil,SISTIVA_PREMIS + ALZ_12051,2,91,4914
Cebada,Tandil,SISTIVA_PREMIS + ALZ_12051,3,87,4929
Cebada,Tandil,VIBRANCE_INTEGRAL,1,93,3057
Cebada,Tandil,VIBRANCE_INTEGRAL,2,88,4600
Cebada,Tandil,VIBRANCE_INTEGRAL,3,89,5286
Trigo,Tandil,CHECK,1,79,4614
Trigo,Tandil,CHECK,2,82,4171
Trigo,Tandil,CHECK,3,80,1371
Trigo,Tandil,CURACYT,1,82,4543
Trigo,Tandil,CURACYT,2,84,1857
Trigo,Tandil,CURACYT,3,78,2714
Trigo,Tandil,RANCONA_TRIO_300,1,78,4300
Trigo,Tandil,RANCONA_TRIO_300,2,80,1600
Trigo,Tandil,RANCONA_TRIO_300,3,79,4071
Trigo,Tandil,RIZODERMA,1,80,4229
Trigo,Tandil,RIZODERMA,2,86,2500
Trigo,Tandil,RIZODERMA,3,78,3614
Trigo,Tandil,RIZODERMA + VITAGROW + STZN,1,75,4057
Trigo,Tandil,RIZODERMA + VITAGROW + STZN,2,86,4029
Trigo,Tandil,RIZODERMA + VITAGROW + STZN,3,77,4129
Trigo,Tandil,SISTIVA_PREMIS,1,85,1957
Trigo,Tandil,SISTIVA_PREMIS,2,78,4943
Trigo,Tandil,SISTIVA_PREMIS,3,75,4400
Trigo,Tandil,SISTIVA_PREMIS + ALLTEC_ZN,1,78,5529
Trigo,Tandil,SISTIVA_PREMIS + ALLTEC_ZN,2,80,3629
Trigo,Tandil,SISTIVA_PREMIS + ALLTEC_ZN,3,81,2143
Trigo,Tandil,SISTIVA_PREMIS + ALZ_12051,1,80,1643
Trigo,Tandil,SISTIVA_PREMIS + ALZ_12051,2,82,3186
Trigo,Tandil,SISTIVA_PREMIS + ALZ_12051,3,81,4414
Trigo,Tandil,VIBRANCE_INTEGRAL,1,84,2057
Trigo,Tandil,VIBRANCE_INTEGRAL,2,76,3857
Trigo,Tandil,VIBRANCE_INTEGRAL,3,81,4443
Cebada,MDP,CHECK,1,77,5329.55772425249
Cebada,MDP,CHECK,1,63,5329.55772425249
Cebada,MDP,CHECK,2,72,5099.46013289037
Cebada,MDP,CHECK,2,65,5099.46013289037
Cebada,MDP,CHECK,3,66,4676.5780730897
Cebada,MDP,CHECK,3,62,4676.5780730897
Cebada,MDP,CURACYT,1,71,5348.21428571429
Cebada,MDP,CURACYT,2,74,4993.7396179402
Cebada,MDP,CURACYT,3,69,4776.07973421927
Cebada,MDP,RANCONA_TRIO_400,1,58,5394.74667774086
Cebada,MDP,RANCONA_TRIO_400,2,79,5111.89784053156
Cebada,MDP,RANCONA_TRIO_400,3,67,5124.33554817276
Cebada,MDP,RIZODERMA_SX,1,78,4527.32558139535
Cebada,MDP,RIZODERMA_SX,2,55,5808.40946843854
Cebada,MDP,RIZODERMA_SX,3,67,5062.14700996678
Cebada,MDP,RIZODERMA_SX + VITAGROW + STZN,1,74,5472.59136212625
Cebada,MDP,RIZODERMA_SX + VITAGROW + STZN,2,74,5074.58471760798
Cebada,MDP,RIZODERMA_SX + VITAGROW + STZN,3,73,5037.27159468439
Cebada,MDP,SISTIVA_PREMIS,1,50,5951.44310631229
Cebada,MDP,SISTIVA_PREMIS,2,67,5513.05370985604
Cebada,MDP,SISTIVA_PREMIS,3,66,4533.54443521595
Cebada,MDP,SISTIVA_PREMIS + ALZ_12051,1,81,5230.05606312292
Cebada,MDP,SISTIVA_PREMIS + ALZ_12051,2,67,5087.02242524917
Cebada,MDP,SISTIVA_PREMIS + ALZ_12051,3,67,4813.39285714286
Cebada,MDP,VIBRANCE_INTEGRAL,1,75,4477.57475083056
Cebada,MDP,VIBRANCE_INTEGRAL,2,58,5155.42981727575
Cebada,MDP,VIBRANCE_INTEGRAL,3,68,5254.93147840532
Trigo,MDP,CHECK,1,60,3819
Trigo,MDP,CHECK,2,65,4194.16758951643
Trigo,MDP,CHECK,3,54,3444.05684754522
Trigo,MDP,CURACYT,1,62,4645.84717607974
Trigo,MDP,CURACYT,2,56,3960.26208933186
Trigo,MDP,CURACYT,3,60,4573.25581395349
Trigo,MDP,RANCONA_TRIO_300,1,64,3839.27648578811
Trigo,MDP,RANCONA_TRIO_300,2,64,4484.53303802141
Trigo,MDP,RANCONA_TRIO_300,3,53,4290.95607235142
Trigo,MDP,RIZODERMA,1,58,4057.05057216685
Trigo,MDP,RIZODERMA,2,58,4565.19010705057
Trigo,MDP,RIZODERMA,3,62,4019.01070505722
Trigo,MDP,RIZODERMA + VITAGROW + STZN,1,51,4605.51864156515
Trigo,MDP,RIZODERMA + VITAGROW + STZN,2,70,4581.32152085641
Trigo,MDP,RIZODERMA + VITAGROW + STZN,3,58,4040.91915836102
Trigo,MDP,SISTIVA_PREMIS,1,62,4565.19010705057
Trigo,MDP,SISTIVA_PREMIS,2,55,4234.49612403101
Trigo,MDP,SISTIVA_PREMIS,3,61,4355.48172757475
Trigo,MDP,SISTIVA_PREMIS + ALLTEC_ZN,1,60,4428.073089701
Trigo,MDP,SISTIVA_PREMIS + ALLTEC_ZN,2,51,4569.87818383167
Trigo,MDP,SISTIVA_PREMIS + ALLTEC_ZN,3,69,4057.05057216685
Trigo,MDP,SISTIVA_PREMIS + ALZ_12051,1,62,4661.97858988557
Trigo,MDP,SISTIVA_PREMIS + ALZ_12051,2,53,4024.78774455519
Trigo,MDP,SISTIVA_PREMIS + ALZ_12051,3,64,4105.44481358435
Trigo,MDP,VIBRANCE_INTEGRAL,1,56,4766.83277962348
Trigo,MDP,VIBRANCE_INTEGRAL,2,55,4436.13879660391
Trigo,MDP,VIBRANCE_INTEGRAL,3,63,4073.18198597269
Cebada,La Dulce,RANCONA_TRIO_400,1,94,3566.66666666667
Cebada,La Dulce,RANCONA_TRIO_400,2,89,3144.34293097084
Cebada,La Dulce,RANCONA_TRIO_400,3,84,4383.33333333333
Cebada,La Dulce,RIZODERMA_SX,1,99,2991.66666666667
Cebada,La Dulce,RIZODERMA_SX,2,87,4175
