sitio,cultivo,prod,bq,kg_ha,inc,sev
La Dulce,cebada,Check,1,3458.33333333333,60,3
La Dulce,cebada,Check,3,3804.26356589147,80,1
La Dulce,cebada,Check,2,4150,90,2
La Dulce,cebada,Fidresa_900 @Z39,1,3916.66666666667,10,1
La Dulce,cebada,Fidresa_900 @Z39,3,4158.33333333333,60,1
La Dulce,cebada,Fidresa_900 @Z39,2,4358.33333333333,50,1
La Dulce,cebada,Cripton_Xpro_600 @Z39,1,3600,60,1
La Dulce,cebada,Cripton_Xpro_600 @Z39,2,4400,30,1
La Dulce,cebada,Cripton_Xpro_600 @Z39,3,5341.66666666667,40,1
La Dulce,cebada,Coverfull_Ace_500 @Z39,3,3966.66666666667,70,1
La Dulce,cebada,Coverfull_Ace_500 @Z39,2,4650,40,1
La Dulce,cebada,Coverfull_Ace_500 @Z39,1,4716.66666666667,60,1
La Dulce,cebada,Goldleaf_2000 @Z39,2,3766.66666666667,40,1
La Dulce,cebada,Goldleaf_2000 @Z39,3,4100,40,1
La Dulce,cebada,Goldleaf_2000 @Z39,1,5000,50,1
La Dulce,cebada,Orquesta_1200 @Z39,2,3791.66666666667,40,1
La Dulce,cebada,Orquesta_1200 @Z39,3,4491.66666666667,10,1
La Dulce,cebada,Orquesta_1200 @Z39,1,4883.33333333333,40,1
La Dulce,cebada,Miravis_200 + Elatus_500 @Z39,2,3916.66666666667,50,1
La Dulce,cebada,Miravis_200 + Elatus_500 @Z39,3,4933.33333333333,60,1
La Dulce,cebada,Miravis_200 + Elatus_500 @Z39,1,5325,50,1
La Dulce,cebada,Cripton_600 @Z39,3,3241.66666666667,70,1
La Dulce,cebada,Cripton_600 @Z39,2,3941.66666666667,70,1
La Dulce,cebada,Cripton_600 @Z39,1,4891.66666666667,80,1
MDP,cebada,Check,2,4848.00664451827,100,4
MDP,cebada,Check,1,4839.71945367294,100,7
MDP,cebada,Check,3,4964.0273163529,100,5
MDP,cebada,Fidresa_900 @Z39,1,5038.61203396087,60,3
MDP,cebada,Fidresa_900 @Z39,3,5345.2380952381,60,2
MDP,cebada,Fidresa_900 @Z39,2,4955.74012550757,60,3
MDP,cebada,Cripton_600 @Z39,1,4881.1554078996,70,3
MDP,cebada,Cripton_600 @Z39,3,4930.87855297158,60,2
MDP,cebada,Cripton_600 @Z39,2,,70,2
MDP,cebada,Coverfull_Ace_500 @Z39,3,5030.32484311554,60,2
MDP,cebada,Coverfull_Ace_500 @Z39,2,5220.93023255814,60,3
MDP,cebada,Coverfull_Ace_500 @Z39,1,5104.37430786268,40,2
MDP,cebada,Goldleaf_2000 @Z39,1,4939.16574381691,50,3
MDP,cebada,Goldleaf_2000 @Z39,3,5005.46327057955,50,2
MDP,cebada,Goldleaf_2000 @Z39,2,5386.67404946475,60,3
MDP,cebada,Orquesta_1200 @Z39,3,4922.59136212625,50,1
MDP,cebada,Orquesta_1200 @Z39,2,5353.52528608343,40,1
MDP,cebada,Orquesta_1200 @Z39,1,5492.2296050203,40,2
MDP,cebada,Miravis_200 + Elatus_500 @Z39,1,5154.6327057955,60,2
MDP,cebada,Miravis_200 + Elatus_500 @Z39,3,5361.81247692876,50,2
MDP,cebada,Miravis_200 + Elatus_500 @Z39,2,5469.54595791805,40,1
MDP,cebada,Cripton_Xpro_600 @Z39,3,4881.1554078996,50,2
MDP,cebada,Cripton_Xpro_600 @Z39,1,5158.33333333333,60,2
MDP,cebada,Cripton_Xpro_600 @Z39,2,5416.02067183463,40,1
MDP,trigo,Check,1,3144.34293097084,,
