sitio,cultivo,protec,trt,bq,g,hum,m2,kg_ha,crop_trt,prod,prod_compact
La Dulce,cebada,semilla,1,3,493,9.7,1.26,4108.33333333333,C1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
La Dulce,cebada,semilla,1,1,533,9.7,1.26,4441.66666666667,C1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
La Dulce,cebada,semilla,1,2,399,9.7,1.26,3325,C1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
La Dulce,cebada,semilla,2,1,551,9.7,1.26,4591.66666666667,C2,VIBRANCE_INTEGRAL,VIBR
La Dulce,cebada,semilla,2,2,338,9.7,1.26,2816.66666666667,C2,VIBRANCE_INTEGRAL,VIBR
La Dulce,cebada,semilla,2,3,435,9.7,1.26,3625,C2,VIBRANCE_INTEGRAL,VIBR
La Dulce,cebada,semilla,3,1,280,9.7,1.26,2333.33333333333,C3,SISTIVA_PREMIS,SIST
La Dulce,cebada,semilla,3,3,503,9.7,1.26,4191.66666666667,C3,SISTIVA_PREMIS,SIST
La Dulce,cebada,semilla,3,2,488,9.7,1.26,4066.66666666667,C3,SISTIVA_PREMIS,SIST
La Dulce,cebada,semilla,4,2,379,10.1,1.26,3144.34293097084,C4,RANCONA_TRIO_400,RANCO
La Dulce,cebada,semilla,4,3,574,9.7,1.26,4783.33333333333,C4,RANCONA_TRIO_400,RANCO
La Dulce,cebada,semilla,4,1,428,9.7,1.26,3566.66666666667,C4,RANCONA_TRIO_400,RANCO
La Dulce,cebada,semilla,5,2,501,9.7,1.26,4175,C5,RIZODERMA_SX,RIZO_SX
La Dulce,cebada,semilla,5,3,502,9.7,1.26,4183.33333333333,C5,RIZODERMA_SX,RIZO_SX
La Dulce,cebada,semilla,5,1,323,9.7,1.26,2691.66666666667,C5,RIZODERMA_SX,RIZO_SX
La Dulce,cebada,semilla,6,1,440,9.7,1.26,3666.66666666667,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
La Dulce,cebada,semilla,6,2,356,9.7,1.26,2966.66666666667,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
La Dulce,cebada,semilla,6,3,542,9.6,1.26,4521.66851236619,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
La Dulce,trigo,semilla,1,3,321,8.96,1.26,2696.92137320044,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
La Dulce,trigo,semilla,1,2,193,8.96,1.26,1621.5134736065,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
La Dulce,trigo,semilla,1,1,244,8.96,1.26,2049.99630860096,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
La Dulce,trigo,semilla,2,1,305,8.96,1.26,2562.4953857512,T2,VIBRANCE_INTEGRAL,VIBR
La Dulce,trigo,semilla,2,3,343,8.96,1.26,2881.75710594315,T2,VIBRANCE_INTEGRAL,VIBR
La Dulce,trigo,semilla,2,2,267,8.96,1.26,2243.23366555925,T2,VIBRANCE_INTEGRAL,VIBR
La Dulce,trigo,semilla,3,1,351,8.7,1.26,2957.39202657807,T3,SISTIVA_PREMIS,SIST
La Dulce,trigo,semilla,3,1,318,8.96,1.26,2671.71650055371,T3,SISTIVA_PREMIS,SIST
La Dulce,trigo,semilla,3,2,280,8.96,1.26,2352.45478036176,T3,SISTIVA_PREMIS,SIST
La Dulce,trigo,semilla,3,3,289,8.96,1.26,2428.06939830196,T3,SISTIVA_PREMIS,SIST
La Dulce,trigo,semilla,4,1,346,8.96,1.26,2906.96197858989,T4,RANCONA_TRIO_300,RANCO
La Dulce,trigo,semilla,4,2,211,8.96,1.26,1772.7427094869,T4,RANCONA_TRIO_300,RANCO
La Dulce,trigo,semilla,4,3,291,8.96,1.26,2444.87264673311,T4,RANCONA_TRIO_300,RANCO
La Dulce,trigo,semilla,5,3,183,9.2,1.26,1533.44407530454,T5,RIZODERMA,RIZO
La Dulce,trigo,semilla,5,2,239,9,1.26,2007.10594315246,T5,RIZODERMA,RIZO
La Dulce,trigo,semilla,5,1,288,8.96,1.26,2419.66777408638,T5,RIZODERMA,RIZO
La Dulce,trigo,semilla,6,2,299,8.96,1.26,2512.08564045773,T6,RIZODERMA + VITAGROW + STZN,RIZO+VTG+STZN
La Dulce,trigo,semilla,6,3,336,8.96,1.26,2822.94573643411,T6,RIZODERMA + VITAGROW + STZN,RIZO+VTG+STZN
La Dulce,trigo,semilla,6,1,225,8.96,1.26,1890.36544850498,T6,RIZODERMA + VITAGROW + STZN,RIZO+VTG+STZN
MDP,cebada,semilla,1,2,818,10.15,1.68,5087.02242524917,C1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
MDP,cebada,semilla,1,3,774,10.15,1.68,4813.39285714286,C1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
MDP,cebada,semilla,1,1,841,10.15,1.68,5230.05606312292,C1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
MDP,cebada,semilla,2,2,829,10.15,1.68,5155.42981727575,C2,VIBRANCE_INTEGRAL,VIBR
MDP,cebada,semilla,2,1,720,10.15,1.68,4477.57475083056,C2,VIBRANCE_INTEGRAL,VIBR
MDP,cebada,semilla,2,3,845,10.15,1.68,5254.93147840532,C2,VIBRANCE_INTEGRAL,VIBR
MDP,cebada,semilla,3,2,887,10.2,1.68,5513.05370985604,C3,SISTIVA_PREMIS,SIST
MDP,cebada,semilla,3,1,957,10.15,1.68,5951.44310631229,C3,SISTIVA_PREMIS,SIST
MDP,cebada,semilla,3,3,729,10.15,1.68,4533.54443521595,C3,SISTIVA_PREMIS,SIST
MDP,cebada,semilla,4,1,867,10.1,1.68,5394.74667774086,C4,RANCONA_TRIO_400,RANCO
MDP,cebada,semilla,4,2,822,10.15,1.68,5111.89784053156,C4,RANCONA_TRIO_400,RANCO
MDP,cebada,semilla,4,3,824,10.15,1.68,5124.33554817276,C4,RANCONA_TRIO_400,RANCO
MDP,cebada,semilla,5,2,934,10.15,1.68,5808.40946843854,C5,RIZODERMA_SX,RIZO_SX
MDP,cebada,semilla,5,1,728,10.15,1.68,4527.32558139535,C5,RIZODERMA_SX,RIZO_SX
MDP,cebada,semilla,5,3,814,10.15,1.68,5062.14700996678,C5,RIZODERMA_SX,RIZO_SX
MDP,cebada,semilla,6,3,810,10.15,1.68,5037.27159468439,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
MDP,cebada,semilla,6,2,816,10.15,1.68,5074.58471760798,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
MDP,cebada,semilla,6,1,880,10.15,1.68,5472.59136212625,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
MDP,cebada,semilla,7,1,860,10.15,1.68,5348.21428571429,C7,CURACYT,CURACYT
MDP,cebada,semilla,7,3,768,10.15,1.68,4776.07973421927,C7,CURACYT,CURACYT
MDP,cebada,semilla,7,2,803,10.15,1.68,4993.7396179402,C7,CURACYT,CURACYT
MDP,cebada,semilla,8,1,844,10.15,1.68,5248.71262458472,C8,SISTIVA_PREMIS_2X,SIST2X
MDP,cebada,semilla,8,3,848,10.15,1.68,5273.58803986711,C8,SISTIVA_PREMIS_2X,SIST2X
MDP,cebada,semilla,8,2,764,10.15,1.68,4751.20431893688,C8,SISTIVA_PREMIS_2X,SIST2X
MDP,cebada,semilla,9,3,742,10.15,1.68,4614.38953488372,C9,CHECK,CHECK
MDP,cebada,semilla,9,1,826,10.15,1.68,5136.77325581395,C9,CHECK,CHECK
MDP,cebada,semilla,9,2,799,10.15,1.68,4968.86420265781,C9,CHECK,CHECK
MDP,cebada,semilla,10,2,841,10.15,1.68,5230.05606312292,C10,CHECK,CHECK
MDP,cebada,semilla,10,1,888,10.15,1.68,5522.34219269103,C10,CHECK,CHECK
MDP,cebada,semilla,10,3,762,10.15,1.68,4738.76661129568,C10,CHECK,CHECK
MDP,trigo,semilla,1,3,509,12.6,1.26,4105.44481358435,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
MDP,trigo,semilla,1,1,578,12.6,1.26,4661.97858988557,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
MDP,trigo,semilla,1,2,499,12.6,1.26,4024.78774455519,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
MDP,trigo,semilla,2,3,505,12.6,1.26,4073.18198597269,T2,VIBRANCE_INTEGRAL,VIBR
MDP,trigo,semilla,2,2,550,12.6,1.26,4436.13879660391,T2,VIBRANCE_INTEGRAL,VIBR
MDP,trigo,semilla,2,1,591,12.6,1.26,4766.83277962348,T2,VIBRANCE_INTEGRAL,VIBR
