cultivo,sitio,prod,bq,kg_ha
cebada,La Dulce,RANCONA_TRIO_400,1,3566.66666666667
cebada,La Dulce,RANCONA_TRIO_400,2,3144.34293097084
cebada,La Dulce,RANCONA_TRIO_400,3,4383.33333333333
cebada,La Dulce,RIZODERMA_SX,1,2991.66666666667
cebada,La Dulce,RIZODERMA_SX,2,4175
cebada,La Dulce,RIZODERMA_SX,3,3883.33333333333
cebada,La Dulce,RIZODERMA_SX + VITAGROW + STZN,1,3666.66666666667
cebada,La Dulce,RIZODERMA_SX + VITAGROW + STZN,2,3066.66666666667
cebada,La Dulce,RIZODERMA_SX + VITAGROW + STZN,3,4521.66851236619
cebada,La Dulce,SISTIVA_PREMIS,1,2933.33333333333
cebada,La Dulce,SISTIVA_PREMIS,2,4066.66666666667
cebada,La Dulce,SISTIVA_PREMIS,3,4191.66666666667
cebada,La Dulce,SISTIVA_PREMIS + ALZ_12051,1,4441.66666666667
cebada,La Dulce,SISTIVA_PREMIS + ALZ_12051,2,3325
cebada,La Dulce,SISTIVA_PREMIS + ALZ_12051,3,4108.33333333333
cebada,La Dulce,VIBRANCE_INTEGRAL,1,4591.66666666667
cebada,La Dulce,VIBRANCE_INTEGRAL,2,2916.66666666667
cebada,La Dulce,VIBRANCE_INTEGRAL,3,3625
cebada,MDP,CHECK,1,5329.55772425249
cebada,MDP,CHECK,2,5099.46013289037
cebada,MDP,CHECK,3,4676.5780730897
cebada,MDP,CURACYT,1,5348.21428571429
cebada,MDP,CURACYT,2,4993.7396179402
cebada,MDP,CURACYT,3,4776.07973421927
cebada,MDP,RANCONA_TRIO_400,1,5394.74667774086
cebada,MDP,RANCONA_TRIO_400,2,5111.89784053156
cebada,MDP,RANCONA_TRIO_400,3,5124.33554817276
cebada,MDP,RIZODERMA_SX,1,4527.32558139535
cebada,MDP,RIZODERMA_SX,2,5808.40946843854
cebada,MDP,RIZODERMA_SX,3,5062.14700996678
cebada,MDP,RIZODERMA_SX + VITAGROW + STZN,1,5472.59136212625
cebada,MDP,RIZODERMA_SX + VITAGROW + STZN,2,5074.58471760798
cebada,MDP,RIZODERMA_SX + VITAGROW + STZN,3,5037.27159468439
cebada,MDP,SISTIVA_PREMIS,1,5951.44310631229
cebada,MDP,SISTIVA_PREMIS,2,5513.05370985604
cebada,MDP,SISTIVA_PREMIS,3,4533.54443521595
cebada,MDP,SISTIVA_PREMIS + ALZ_12051,1,5230.05606312292
cebada,MDP,SISTIVA_PREMIS + ALZ_12051,2,5087.02242524917
cebada,MDP,SISTIVA_PREMIS + ALZ_12051,3,4813.39285714286
cebada,MDP,VIBRANCE_INTEGRAL,1,4477.57475083056
cebada,MDP,VIBRANCE_INTEGRAL,2,5155.42981727575
cebada,MDP,VIBRANCE_INTEGRAL,3,5254.93147840532
cebada,Tandil,CHECK,1,5057
cebada,Tandil,CHECK,2,5443
cebada,Tandil,CHECK,3,2629
cebada,Tandil,CURACYT,1,4114
cebada,Tandil,CURACYT,2,2500
cebada,Tandil,CURACYT,3,3400
cebada,Tandil,RANCONA_TRIO_400,1,4386
cebada,Tandil,RANCONA_TRIO_400,2,2129
cebada,Tandil,RANCONA_TRIO_400,3,4886
cebada,Tandil,RIZODERMA_SX,1,4643
cebada,Tandil,RIZODERMA_SX,2,3100
cebada,Tandil,RIZODERMA_SX,3,4100
cebada,Tandil,RIZODERMA_SX + VITAGROW + STZN,1,4186
cebada,Tandil,RIZODERMA_SX + VITAGROW + STZN,2,4800
cebada,Tandil,RIZODERMA_SX + VITAGROW + STZN,3,4386
cebada,Tandil,SISTIVA_PREMIS,1,2929
cebada,Tandil,SISTIVA_PREMIS,2,5614
cebada,Tandil,SISTIVA_PREMIS,3,5671
cebada,Tandil,SISTIVA_PREMIS + ALZ_12051,1,1914
cebada,Tandil,SISTIVA_PREMIS + ALZ_12051,2,4914
cebada,Tandil,SISTIVA_PREMIS + ALZ_12051,3,4929
cebada,Tandil,VIBRANCE_INTEGRAL,1,3057
cebada,Tandil,VIBRANCE_INTEGRAL,2,4600
cebada,Tandil,VIBRANCE_INTEGRAL,3,5286
trigo,La Dulce,RANCONA_TRIO_300,1,2906.96197858989
trigo,La Dulce,RANCONA_TRIO_300,2,1772.7427094869
trigo,La Dulce,RANCONA_TRIO_300,3,2444.87264673311
trigo,La Dulce,RIZODERMA,1,2419.66777408638
trigo,La Dulce,RIZODERMA,2,2007.10594315246
trigo,La Dulce,RIZODERMA,3,1833.44407530454
trigo,La Dulce,RIZODERMA + VITAGROW + STZN,1,1890.36544850498
trigo,La Dulce,RIZODERMA + VITAGROW + STZN,2,2512.08564045773
trigo,La Dulce,RIZODERMA + VITAGROW + STZN,3,2822.94573643411
trigo,La Dulce,SISTIVA_PREMIS,1,2671.71650055371
trigo,La Dulce,SISTIVA_PREMIS,2,2352.45478036176
trigo,La Dulce,SISTIVA_PREMIS,3,2428.06939830196
trigo,La Dulce,SISTIVA_PREMIS + ALZ_12051,1,2049.99630860096
trigo,La Dulce,SISTIVA_PREMIS + ALZ_12051,2,1621.5134736065
trigo,La Dulce,SISTIVA_PREMIS + ALZ_12051,3,2696.92137320044
trigo,La Dulce,VIBRANCE_INTEGRAL,1,2562.4953857512
trigo,La Dulce,VIBRANCE_INTEGRAL,2,2243.23366555925
trigo,La Dulce,VIBRANCE_INTEGRAL,3,2881.75710594315
trigo,MDP,CHECK,1,3819
trigo,MDP,CHECK,2,4194.16758951643
trigo,MDP,CHECK,3,3444.05684754522
trigo,MDP,CURACYT,1,4645.84717607974
trigo,MDP,CURACYT,2,3960.26208933186
trigo,MDP,CURACYT,3,4573.25581395349
trigo,MDP,RANCONA_TRIO_300,1,3839.27648578811
trigo,MDP,RANCONA_TRIO_300,2,4484.53303802141
trigo,MDP,RANCONA_TRIO_300,3,4290.95607235142
trigo,MDP,RIZODERMA,1,4057.05057216685
trigo,MDP,RIZODERMA,2,4565.19010705057
trigo,MDP,RIZODERMA,3,4019.01070505722
trigo,MDP,RIZODERMA + VITAGROW + STZN,1,4605.51864156515
trigo,MDP,RIZODERMA + VITAGROW + STZN,2,4581.32152085641
trigo,MDP,RIZODERMA + VITAGROW + STZN,3,4040.91915836102
trigo,MDP,SISTIVA_PREMIS,1,4565.19010705057
trigo,MDP,SISTIVA_PREMIS,2,4234.49612403101
trigo,MDP,SISTIVA_PREMIS,3,4355.48172757475
trigo,MDP,SISTIVA_PREMIS + ALLTEC_ZN,1,4428.073089701
trigo,MDP,SISTIVA_PREMIS + ALLTEC_ZN,2,4569.87818383167
trigo,MDP,SISTIVA_PREMIS + ALLTEC_ZN,3,4057.05057216685
