sitio,cultivo,protec,trt,bq,g,hum,m2,kg_ha,prod
La Dulce,cebada,foliar,1,1,415,9.7,1.26,3458.33333333333,Check
La Dulce,cebada,foliar,1,3,455,9.4,1.26,3804.26356589147,Check
La Dulce,cebada,foliar,1,2,498,9.7,1.26,4150,Check
La Dulce,cebada,foliar,2,1,470,9.7,1.26,3916.66666666667,Fidresa_900 @Z39
La Dulce,cebada,foliar,2,3,499,9.7,1.26,4158.33333333333,Fidresa_900 @Z39
La Dulce,cebada,foliar,2,2,523,9.7,1.26,4358.33333333333,Fidresa_900 @Z39
La Dulce,cebada,foliar,3,1,432,9.7,1.26,3600,Cripton_Xpro_600 @Z39
La Dulce,cebada,foliar,3,2,528,9.7,1.26,4400,Cripton_Xpro_600 @Z39
La Dulce,cebada,foliar,3,3,761,9.7,1.26,5341.66666666667,Cripton_Xpro_600 @Z39
La Dulce,cebada,foliar,4,3,476,9.7,1.26,3966.66666666667,Coverfull_Ace_500 @Z39
La Dulce,cebada,foliar,4,2,558,9.7,1.26,4650,Coverfull_Ace_500 @Z39
La Dulce,cebada,foliar,4,1,566,9.7,1.26,4716.66666666667,Coverfull_Ace_500 @Z39
La Dulce,cebada,foliar,5,2,452,9.7,1.26,3766.66666666667,Goldleaf_2000 @Z39
La Dulce,cebada,foliar,5,3,492,9.7,1.26,4100,Goldleaf_2000 @Z39
La Dulce,cebada,foliar,5,1,600,9.7,1.26,5000,Goldleaf_2000 @Z39
La Dulce,cebada,foliar,6,2,455,9.7,1.26,3791.66666666667,Orquesta_1200 @Z39
La Dulce,cebada,foliar,6,3,539,9.7,1.26,4491.66666666667,Orquesta_1200 @Z39
La Dulce,cebada,foliar,6,1,586,9.7,1.26,4883.33333333333,Orquesta_1200 @Z39
La Dulce,cebada,foliar,7,2,470,9.7,1.26,3916.66666666667,Miravis_200 + Elatus_500 @Z39
La Dulce,cebada,foliar,7,3,592,9.7,1.26,4933.33333333333,Miravis_200 + Elatus_500 @Z39
La Dulce,cebada,foliar,7,1,663,9.7,1.26,5325,Miravis_200 + Elatus_500 @Z39
La Dulce,cebada,foliar,8,3,389,9.7,1.26,3241.66666666667,Cripton_600 @Z39
La Dulce,cebada,foliar,8,2,473,9.7,1.26,3941.66666666667,Cripton_600 @Z39
La Dulce,cebada,foliar,8,1,587,9.7,1.26,4891.66666666667,Cripton_600 @Z39
MDP,cebada,foliar,1,2,585,10.2,1.26,4848.00664451827,Check
MDP,cebada,foliar,1,1,584,10.2,1.26,4839.71945367294,Check
MDP,cebada,foliar,1,3,599,10.2,1.26,4964.0273163529,Check
MDP,cebada,foliar,2,1,608,10.2,1.26,5038.61203396087,Fidresa_900 @Z39
MDP,cebada,foliar,2,3,645,10.2,1.26,5345.2380952381,Fidresa_900 @Z39
MDP,cebada,foliar,2,2,598,10.2,1.26,4955.74012550757,Fidresa_900 @Z39
MDP,cebada,foliar,8,1,589,10.2,1.26,4881.1554078996,Cripton_600 @Z39
