sitio,cultivo,crop_trat,trat_id,trat,trat_compact
MDP,cebada,C9,9,Check,CHECK
MDP,cebada,C10,10,Check,CHECK
MDP,trigo,T10,10,Check,CHECK
Tandil,cebada,C9,9,Check,CHECK
Tandil,trigo,T9,9,Check,CHECK
MDP,cebada,C7,7,Curacyt,CURACYT
MDP,trigo,T7,7,Curacyt,CURACYT
Tandil,cebada,C7,7,Curacyt,CURACYT
Tandil,trigo,T7,7,Curacyt,CURACYT
La Dulce,trigo,T4,4,Rancona_trio_300,RANCO
MDP,trigo,T4,4,Rancona_trio_300,RANCO
Tandil,trigo,T4,4,Rancona_trio_300,RANCO
La Dulce,cebada,C4,4,Rancona_trio_400,RANCO
MDP,cebada,C4,4,Rancona_trio_400,RANCO
Tandil,cebada,C4,4,Rancona_trio_400,RANCO
La Dulce,trigo,T5,5,Rizoderma,RIZO
MDP,trigo,T5,5,Rizoderma,RIZO
Tandil,trigo,T5,5,Rizoderma,RIZO
La Dulce,trigo,T6,6,Rizoderma + Vitagrow + STZn,RIZO+VTG+STZN
MDP,trigo,T6,6,Rizoderma + Vitagrow + STZn,RIZO+VTG+STZN
Tandil,trigo,T6,6,Rizoderma + Vitagrow + STZn,RIZO+VTG+STZN
La Dulce,cebada,C5,5,Rizoderma_SX,RIZO_SX
MDP,cebada,C5,5,Rizoderma_SX,RIZO_SX
Tandil,cebada,C5,5,Rizoderma_SX,RIZO_SX
La Dulce,cebada,C6,6,Rizoderma_SX + Vitagrow + STZn,RSX+VTG+STZN
MDP,cebada,C6,6,Rizoderma_SX + Vitagrow + STZn,RSX+VTG+STZN
Tandil,cebada,C6,6,Rizoderma_SX + Vitagrow + STZn,RSX+VTG+STZN
La Dulce,cebada,C3,3,Sistiva_premis,SIST
La Dulce,trigo,T3,3,Sistiva_premis,SIST
MDP,cebada,C3,3,Sistiva_premis,SIST
MDP,trigo,T3,3,Sistiva_premis,SIST
Tandil,cebada,C3,3,Sistiva_premis,SIST
Tandil,trigo,T3,3,Sistiva_premis,SIST
Tandil,trigo,T8,8,Sistiva_premis + Alltec_Zn,SIST+Zn
MDP,trigo,T9,9,Sistiva_premis + Alltec_Zn,SIST+Zn
La Dulce,cebada,C1,1,Sistiva_premis + ALZ_12051,SIST+ALZ
La Dulce,trigo,T1,1,Sistiva_premis + ALZ_12051,SIST+ALZ
MDP,cebada,C1,1,Sistiva_premis + ALZ_12051,SIST+ALZ
MDP,trigo,T1,1,Sistiva_premis + ALZ_12051,SIST+ALZ
Tandil,cebada,C1,1,Sistiva_premis + ALZ_12051,SIST+ALZ
Tandil,trigo,T1,1,Sistiva_premis + ALZ_12051,SIST+ALZ
MDP,cebada,C8,8,Sistiva_premis_2x,SIST2X
MDP,trigo,T8,8,Sistiva_premis_2x,SIST2X
Tandil,cebada,C8,8,Sistiva_premis_2x,SIST2X
La Dulce,cebada,C2,2,Vibrance_integral,VIBR
La Dulce,trigo,T2,2,Vibrance_integral,VIBR
MDP,trigo,T2,2,Vibrance_integral,VIBR
Tandil,cebada,C2,2,Vibrance_integral,VIBR
Tandil,trigo,T2,2,Vibrance_integral,VIBR
MDP,cebada,C2,2,Vibrance_integral,VIBR
